Timestamp;Temperature (°C);Heat (V);Fan (V)
07.05.2024 10:52;31,67;5;3,363458484
07.05.2024 10:52;31,69;5;3,363458484
07.05.2024 10:52;31,71;0;3,363458484
07.05.2024 10:52;31,72;0;3,363458484
07.05.2024 10:52;31,75;0;3,363458484
07.05.2024 10:52;31,76;0;3,363458484
07.05.2024 10:52;31,8;5;3,353265789
07.05.2024 10:52;31,84;5;3,363458484
07.05.2024 10:52;31,9;5;3,363458484
07.05.2024 10:52;31,92;5;3,363458484
07.05.2024 10:52;31,94;0;3,363458484
07.05.2024 10:52;31,94;0;3,363458484
07.05.2024 10:52;31,97;0;3,363458484
07.05.2024 10:52;31,99;0;3,363458484
07.05.2024 10:52;32,02;5;3,363458484
07.05.2024 10:52;32,07;5;3,363458484
07.05.2024 10:52;32,08;5;3,363458484
07.05.2024 10:52;32,09;5;3,363458484
07.05.2024 10:52;32,11;0;3,353265789
07.05.2024 10:52;32,11;0;3,353265789
07.05.2024 10:52;32,14;0;3,363458484
07.05.2024 10:52;32,14;5;3,363458484
07.05.2024 10:52;32,17;5;3,353265789
07.05.2024 10:52;32,21;5;3,363458484
07.05.2024 10:53;32,22;5;3,353265789
07.05.2024 10:53;32,25;0;3,48577082
07.05.2024 10:53;32,26;0;4,780243043
07.05.2024 10:53;32,27;0;4,933133463
07.05.2024 10:53;32,3;0;4,933133463
07.05.2024 10:53;32,34;5;4,933133463
07.05.2024 10:53;32,37;5;4,933133463
07.05.2024 10:53;32,41;5;4,933133463
07.05.2024 10:53;32,44;5;4,933133463
07.05.2024 10:53;32,45;0;4,933133463
07.05.2024 10:53;32,46;0;4,933133463
07.05.2024 10:53;32,48;0;4,933133463
07.05.2024 10:53;32,5;0;4,933133463
07.05.2024 10:53;32,53;5;4,933133463
07.05.2024 10:53;32,55;5;4,933133463
07.05.2024 10:53;32,58;5;4,933133463
07.05.2024 10:53;32,58;5;4,933133463
07.05.2024 10:53;32,58;0;4,933133463
07.05.2024 10:53;32,56;0;4,933133463
07.05.2024 10:53;32,55;0;4,933133463
07.05.2024 10:53;32,56;0;4,933133463
07.05.2024 10:53;32,56;5;4,933133463
07.05.2024 10:53;32,56;5;4,933133463
07.05.2024 10:53;32,55;5;4,943326157
07.05.2024 10:53;32,53;5;4,933133463
07.05.2024 10:53;32,49;0;4,933133463
07.05.2024 10:53;32,67;0;4,933133463
07.05.2024 10:53;32,65;0;4,933133463
07.05.2024 10:53;32,64;0;4,933133463
